time,scramble
17.92,D2 U2 R F2 D2 R' B2 U2 B2 R B D F2 L R D F' L' F L' Fw' 
DNF(1.63),R2 F2 U R2 D' L2 F2 D L2 D2 R B F L2 U L U2 F' U B2 Rw2 Uw2 
DNF(15.83),R2 D' B' U' R2 B U L' F2 B2 L' U2 L B2 U2 F2 D2 L2 F' L Rw2 
DNF(18.03),L D2 L B2 F2 R' F2 U2 L D2 L2 D' L D R' F L D' F' D Uw' 
18.64,F' L2 F2 L2 F' D2 U2 R2 U2 B F' D L' B D2 R F' L F D2 Fw' Uw2 
DNF(1:32.12),U B2 D' L2 B L2 D2 L2 F2 D2 L' R B' L' U' F L Fw Uw 
13.94,F2 L2 R2 F2 D2 R2 D' L2 F2 U F D' R2 U F2 R U R U Rw2 Uw 
DNF(1.71),R2 F' R' U2 L2 U F2 R2 U B2 F2 L2 U B' F' D L' U B2 R Fw Uw2 
17.63,D R' B' U2 B2 F R2 F L2 D2 B' U2 R2 U' F L F' L' B2 L2 Rw2 
14.29,F' B R2 D B R' L2 D' R' F2 R2 F' U2 D2 B' R2 B2 L2 Rw' Uw 
18.21,R2 U B' R' F2 R2 F2 U2 R' U2 B2 U2 R' D' L' B' U L R U2 Rw' Uw 
16.66,L2 B' L2 B' R2 F' L2 B D2 R2 F L2 D R B' D F L B2 U2 Rw2 Uw' 
17.03,F2 U2 F' U' B2 F2 U2 L2 U L2 U' F2 D R2 L F R B' D B' U2 Uw' 
17.27,B L' F R2 D2 F U2 F D2 B2 F' L2 F2 D R F2 U B2 D L Fw Uw2 
DNF(20.15),R' U2 D' F' R F' D B' R' F2 R2 B2 U' B2 U2 B2 D' B2 D' R2 U2 Rw' 
19.71,U2 L B2 R2 F2 U2 F2 U2 L B2 U2 L' F R D L F2 R' D' L U2 Fw' Uw 
DNF(17.11),D2 L2 U R2 U' R2 U2 B2 D2 U' R2 L D' U' L R B F' L' F' U Rw Uw2 
DNF(0.03),U B2 U B2 U2 F2 D' B2 D R2 U2 F' R' F2 D' L2 U2 B' D' L' U' Uw2 
DNF(0.03),F' U B2 D2 B2 U2 L2 F2 D F2 D' F2 R2 B' D L R' U L' D' L Rw' Uw' 
DNF(16.18),F' L' D2 U2 B' D2 B2 U2 L2 R2 F U2 B' U' R' F D R2 U B U2 Uw2 
20.45,U D' L2 D2 F B' D' L' D2 R2 F2 U R2 U' R2 U' F2 D2 Fw Uw' 
17.51,B' D' L' F B' R U D2 B' D2 F2 U2 R U2 L' D2 R' B2 R L2 B2 Rw' Uw 
17.97,D2 F2 L2 R2 U L2 U L2 R2 B D F2 R' B2 L2 U' F' L Uw' 
16.88,B2 U' R' D' B' U R' B2 D' U2 B2 U2 R' D2 F2 R' U2 F2 R L2 Fw Uw2 
14.40,B2 U2 B R2 F' R2 U2 F2 L2 U2 B2 D' L2 F2 L' D F' U2 L' U R Uw2 
DNF(16.03),U' L2 D L2 D B2 D' U' B2 R2 L U' F D' B' D F' D2 L' R Rw2 Uw2 
DNF(15.12),R2 F2 D2 L2 U2 R2 U2 F' U2 B' R F' D' R' U' F L2 F2 Fw 
DNF(17.08),U' L2 R2 U B2 F2 U2 L2 B2 L2 R2 D L F' D U2 B L2 F2 L2 F2 Rw Uw' 
DNF(0.21),U' R2 B' D2 F L2 D2 B2 U2 F2 R2 L' D R2 B R' D U F' D2 Fw' Uw2 
14.36,F2 R' F2 D' F2 D2 L2 R2 F2 U2 R2 U R2 L' B D F' D2 L2 F2 D Rw Uw' 
16.22,D' L2 U F2 D' L2 D' R2 F2 D2 B2 R D2 L' B D2 U2 R' U2 B2 R Rw Uw' 
14.55,B2 L2 R2 U' L2 B2 F2 U' B2 R2 B2 L U B U2 L2 B U' F' D' B Rw Uw' 
DNF(6.16),R' L B' U2 F L2 D B2 L B2 D2 F2 B2 L D2 R2 D2 B2 D' Rw Uw2 
DNF(0.09),R2 D2 B2 D2 R2 D2 U2 F' D2 R2 U2 F' D' B' U L' U' F D2 L' U2 Uw' 
14.95,F2 R F' L2 B U2 F2 D R' F2 B2 L' U2 R D2 L U2 F2 U2 F' Fw' Uw 
DNF(0.08),L U' D2 R2 F L2 U2 L2 B F U2 L2 U L F' D' F R2 B Rw Uw 
DNF(0.08),D R' U R2 B2 D2 B2 D' B2 U' F2 R2 L U' B' R U' B' L F' Fw' Uw 
DNF(0.03),U' R2 F U2 F2 L2 U F L' D2 B' U2 F' L2 U2 D2 F2 D2 L2 B Rw2 
15.94,F2 R2 L D2 B2 L2 F R2 D' L2 U' D' B2 L2 U' B2 U' R2 L U' Rw2 Uw2 
17.77,F' D L' B R2 U' B D L' D2 L F2 L' D2 F2 L2 U2 B2 R2 F Fw Uw2 
16.24,R' B U' D' B' U' B L2 F2 R2 B2 D2 R D2 R' D2 F2 B2 R B R2 Rw Uw 
DNF(0.08),R2 U F2 D B2 D B2 D R2 U L' B' F' R' B R2 U F2 D L Fw 
30.46,L' F2 L2 D B U L U D2 L2 D2 B2 R U2 F2 L' F2 R U2 B Fw' 
17.89,L D2 L' F' L U R' B2 L2 U L2 D' B2 U2 R2 F2 R2 B2 F D2 Rw Uw 
DNF(1.75),L' U R2 F2 R' D2 F2 R' D2 L B2 R2 D2 R' B D' L R' F' U F2 Rw2 Uw2 
19.97,L2 B U2 L B' R' B2 R' U' F R2 F U2 D2 L2 D2 B R2 L2 B' L2 Rw' 
18.46,R F' B D L U2 F' U' D2 L2 F2 R2 F' D2 B' R2 B' L2 F' R2 Rw Uw2 
15.59,L F' D2 L2 R2 D' B2 R2 D2 L2 U' L2 U' B' U' B U R D' R Rw 
20.07+,F2 L' D2 L2 B2 R' U2 R' B2 U2 F U' B2 D U' R' F' R2 U Uw 
15.51,D L2 F' R2 B2 D2 B' D2 F' L2 U2 R D' L' U B U' L' D Fw' Uw 
16.52,F2 D2 L2 D2 L' B2 L U2 B2 U2 F2 B D B L D F' R' B2 R2 Rw2 
14.97,D F' U B2 D' R2 F' U R' B2 R2 F2 B2 U2 R' L2 B2 U2 R' D Rw2 Uw' 
15.86,L F L U' D2 B R2 U' R2 L2 F U2 L2 F D2 B L' Fw 
15.41,F D R B2 D' F2 R2 B2 R2 U' L2 B2 D2 L' R2 F2 R' B' D F2 Fw' Uw2 
DNF(13.58),U' F2 D2 L2 F2 L2 D B2 R2 U' B2 L D2 U' B' L F L' D2 F2 Rw' 
13.69,D2 R U' D2 B2 U' R F2 D2 F' R2 F' L2 F L2 F2 L2 D' L2 Fw' Uw' 
17.54,B' F2 U2 B2 L2 F2 D' L2 U F2 D2 F2 D' L' F' U B F2 R D' R' 
DNF(19.53),D2 R' B' D2 B R2 B2 F L2 D2 L2 R2 F' D B' R U L' F2 U B' Rw2 Uw 
DNF(15.03),L2 R2 F2 D2 L2 U F2 U R2 U' F2 D L' D' B' U R' D2 R2 F' L Rw' Uw' 
13.61,L2 U B2 D F' B' R D' B U2 L' D2 B2 D2 L' U2 F2 L' 
14.92,R2 U' F U' D2 R D' B' D2 F2 L' B2 D2 F2 U2 L B2 L' D2 F2 B Rw Uw' 
17.26,U R F2 U2 B R2 U2 F R2 B R2 F' R' D2 U' B' L' R' F' Rw 
DNF(21.71),D' B2 U B2 R2 D2 L2 R2 B2 R2 D2 R' U B' F L' B2 D' B' L U Fw' Uw 
18.53,U B2 R2 B2 F2 U B2 R2 U' R2 D' L B' D' R' B' D' U2 L' F Fw Uw 
16.71,U2 F2 R U2 B2 R2 B2 R D2 R' D2 L2 F' D L' U' R2 U2 B2 L F Rw' Uw2 
14.12,D' B' R' F2 D' B2 D B2 U' R2 D' R2 D2 F D B' F2 L F2 U' Rw2 Uw2 
28.96,U D L D' B' D' B' D' B' D2 F2 U2 R2 F2 R2 D2 F D2 B2 D' Rw' Uw' 
16.42+,F' L D B2 D2 R2 U B2 U L2 U' R2 U2 L' B F L' B' L2 B' Rw Uw' 
15.91,F D B' D' R2 F2 R2 D' R2 D L2 U B2 D2 R' B' F2 L D U2 B2 Rw' Uw
18.80,U2 L B2 D R2 F2 U B2 D L2 B2 L2 D' F' U B F' U' F2 R 
DNF(0.03),L2 B2 U2 F2 D' B2 F2 D' L2 B2 D L F2 R' F R' D2 B L U2 Rw2 Uw 
DNF(17.77),L D' F2 D B2 U2 F2 R2 B2 D R2 D R' F L2 D B U' B F R2 Rw' 
17.02,R' U2 L U' D2 B L D B' R2 B2 L2 D2 F2 D' R2 L2 D' B2 Rw2 Uw 
15.85,D B2 F2 U2 B2 R2 U' B D2 L' D2 L' U' B U' R2 Rw' Uw 
15.67,D2 L2 R2 U' B2 F2 R2 B2 U L2 U' B' D2 R2 U L' D B2 L' B Uw 
DNF(19.82),D2 R' L2 U2 D L D' R' D F L2 B D2 F2 L2 D2 F U2 F2 D2 Rw' Uw' 
DNF(18.79),R2 D2 R2 F2 D B2 D' B2 U' B2 F2 R D' R2 F L' R' U' L2 U Fw Uw' 
13.61,R' L F2 B' U B2 L' D' R' B2 R2 L' U2 F2 B2 L F2 D Fw' Uw 
16.02,L' F2 D2 L B2 U2 B2 U2 R2 B2 R B' L U' L2 B' U F R U' Rw Uw' 
DNF(17.91),L B L2 D F2 L2 U' R2 F2 U' F2 U' R2 U B' D R F2 R' B2 R' Rw' 
DNF(19.11),R D2 F R2 F L2 D2 B2 D2 F' R2 F2 D' U F' U' L U' F U2 L Rw2 Uw 
17.38,F' R U2 L2 D2 R2 B2 U2 R F2 R' U2 F2 U' R2 B' R' D' F' D' R' Rw Uw 
DNF(18.62),D' F' U R D2 F' L2 U' L U2 R2 B' D2 B' D2 L2 B' R2 B U2 Fw' Uw 
14.59,F' D' B' L' D' L' U F B2 L' B2 R' B2 R F2 L B2 R' F2 R' B Fw' Uw 
16.13,R2 L' U F B2 R2 F R F' U2 F' L2 D2 F2 R2 F' D Fw' Uw2 
DNF(23.00),D F2 L2 F2 R2 D' U' R2 D L2 B2 R2 B' R U' L U2 F' U2 R' B2 Rw' 
14.59,D' R2 D F2 D' B2 L2 U2 B2 L2 R2 B' L D' B2 L' D' F' L2 U2 Rw 
13.23,B' D F2 U F2 L2 D' B2 U2 R2 U' L B U' R D' F' R' F' D2 Rw Uw2 
DNF(19.92),L D2 R L' U F L2 F' L B2 R2 F R2 B' R2 F2 R2 Rw2 
14.34,R2 B' R2 F' R D' L' D B' U' F2 B2 U B2 D2 R2 F2 R2 B2 D 
16.45,L F2 D2 U2 L' B2 R2 B2 R' U2 L' D' L2 B R F L B D R2 Rw Uw2 
DNF(18.23),L F' L2 F2 L2 D2 L2 F' U2 F2 D2 R2 L' F' L' D' B' R' F R2 Rw2 Uw' 
20.20,R' D F2 R2 F2 R2 D' L2 F2 D' R2 U L R F' U' L2 D' U' F' Fw Uw2 
DNF(16.38),R L B U' L D2 F' L U L U2 L' F2 U2 R' D2 B2 R2 U2 B2 Fw Uw2 
14.27,L' U2 F2 D' L2 D' R2 D F2 U' L2 F D2 B U' R' B2 D2 R' U' Fw Uw' 
14.92,D2 F2 R U2 R2 B2 D2 L' F2 U2 B2 D' B U R2 F' D B R' Rw Uw 
DNF(14.90),R F' L' B2 R2 D2 U' B2 U R2 B2 U' B2 U' B R B2 F' D L B2 Rw2 
19.28,U2 B' D2 F2 U2 L2 F L2 D2 R2 U2 D' L B F D F R' B' R2 Rw2 Uw2 
18.17,U D R' F' B' L F L B2 R' F2 B2 U2 F2 U2 R B2 U2 R' U' F' Rw 
DNF(20.71),R2 B2 D2 F' R2 F R2 B U2 F' R2 U2 D' R D' B2 R2 U2 F' R' Rw 
17.86,R2 B R2 B U2 B' L2 B R2 B2 D B' L B F' R2 D R2 F' Fw Uw 
17.15,L2 B' U2 D R F B D L U2 F2 D2 B' L2 B U2 F2 U2 R2 D2 F Rw Uw2 
DNF(20.64),D2 R2 F2 D L2 D R2 U L2 F2 U L' F D' B R2 D2 L R2 F2 U Rw2 
14.98,U' F2 L2 B2 R2 F2 D B2 F2 R2 L B R2 U2 R' U2 F' L F' D' Uw' 
24.68,U2 L2 D' F2 D2 B' R2 U R' L2 U2 L2 U2 B D2 L2 F U2 F' D2 Rw2 Uw' 
DNF(27.31),B L2 D L2 F2 L2 R2 U R2 D' F2 D2 U L F D' R2 B F L2 D' Fw Uw2 
DNF(17.79),R2 D2 L2 U' R2 U' R2 U' B2 U' B' L' R2 D R2 F2 L2 D B' F' Rw' 
18.62,F2 U' L' D2 F' D R D U2 B D2 R2 F' U2 D2 F2 D2 R2 U2 D Rw Uw 
